Filter,N,FPR_Target,Workload,NegShare,LoadFactor,Threads,FPBits,Insert_s,Query_s,FalsePosRate,BPE
cuckoo,1000000,0.01,read-mostly,0,1,4,16,0.0311813,0.031951,0,16
cuckoo,1000000,0.01,read-mostly,0,1,8,8,0.0311841,0.0318887,0,16
cuckoo,1000000,0.01,read-mostly,0,1,8,12,0.0318811,0.0333373,0,16
cuckoo,1000000,0.01,read-mostly,0,1,8,16,0.0326038,0.0326226,0,16
cuckoo,1000000,0.01,read-mostly,0.5,1,1,8,0.0319905,0.030403,0.00961263,16
cuckoo,1000000,0.01,read-mostly,0.5,1,1,12,0.0311234,0.0301105,0.00961263,16
cuckoo,1000000,0.01,read-mostly,0.5,1,1,16,0.0320179,0.0329468,0.00960947,16
cuckoo,1000000,0.01,read-mostly,0.5,1,2,8,0.0324165,0.0303818,0.00961053,16
cuckoo,1000000,0.01,read-mostly,0.5,1,2,12,0.0322928,0.0306171,0.00961474,16
cuckoo,1000000,0.01,read-mostly,0.5,1,2,16,0.03097,0.0305354,0.00961158,16
cuckoo,1000000,0.01,read-mostly,0.5,1,4,8,0.031683,0.0308082,0.00961789,16
cuckoo,1000000,0.01,read-mostly,0.5,1,4,12,0.0307147,0.0307453,0.00961158,16
cuckoo,1000000,0.01,read-mostly,0.5,1,4,16,0.0309966,0.0299205,0.00961263,16
cuckoo,1000000,0.01,read-mostly,0.5,1,8,8,0.0308726,0.0301857,0.00961158,16
cuckoo,1000000,0.01,read-mostly,0.5,1,8,12,0.0311286,0.0301424,0.00961474,16
cuckoo,1000000,0.01,read-mostly,0.5,1,8,16,0.0317699,0.0300431,0.00961158,16
cuckoo,1000000,0.01,read-mostly,0.9,1,1,8,0.0310581,0.0267664,0.0172895,16
cuckoo,1000000,0.01,read-mostly,0.9,1,1,12,0.0312089,0.0275464,0.0172926,16
cuckoo,1000000,0.01,read-mostly,0.9,1,1,16,0.0341074,0.0266648,0.0172895,16
cuckoo,1000000,0.01,read-mostly,0.9,1,2,8,0.0335309,0.026823,0.0172863,16
